tweet_id,user_id,tweet_timestamp,keyword,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment,emotion
1.22372E+18,16030327,2020-02-01 13-21-11,wuhan,0.385,0.561,0.406,0.23,0.424,negative,fear
1.22372E+18,9.6723E+17,2020-02-01 13-21-11,wuhan,0.465,0.493,0.377,0.29,0.335,negative,fear
1.22372E+18,16030327,2020-02-01 13-21-11,nCoV,0.385,0.561,0.406,0.23,0.424,negative,fear
1.22372E+18,56857972,2020-02-01 13-21-18,nCoV,0.58,0.346,0.398,0.394,0.337,positive,happiness
1.22372E+18,16030327,2020-02-01 13-21-46,nCoV,0.406,0.556,0.445,0.251,0.429,negative,fear
1.22372E+18,16030327,2020-02-01 13-21-46,wuhan,0.406,0.556,0.445,0.251,0.429,negative,fear
1.22372E+18,9.66532E+17,2020-02-01 13-23-26,wuhan,0.592,0.38,0.354,0.396,0.361,positive,happiness
1.22372E+18,4669582632,2020-02-01 13-23-33,wuhan,0.414,0.582,0.438,0.273,0.468,negative,fear
1.22372E+18,584849187,2020-02-01 13-23-40,corona,0.525,0.379,0.4,0.346,0.325,positive,happiness
1.22372E+18,1.03663E+18,2020-02-01 13-23-43,wuhan,0.396,0.445,0.489,0.249,0.414,negative,anger
1.22372E+18,9.95885E+17,2020-02-01 13-24-10,wuhan,0.593,0.347,0.354,0.393,0.358,positive,happiness
1.22372E+18,16030327,2020-02-01 13-25-00,wuhan,0.523,0.497,0.359,0.346,0.359,positive,happiness
1.22372E+18,16030327,2020-02-01 13-25-00,nCoV,0.523,0.497,0.359,0.346,0.359,positive,happiness
1.22372E+18,9.54711E+17,2020-02-01 13-25-10,wuhan,0.406,0.471,0.454,0.211,0.466,negative,fear
